20	20
11	25
16	30
28	19
11	23
17	18
21	15
25	18
23	15
18	26
19	11
11	28
13	15
24	24
23	19
11	14
13	10
30	22
13	12
29	11
30	10
18	22
11	15
14	15
15	18
13	29
27	22
30	23
18	29
12	29
19	16
11	22
19	14
22	22
27	30
30	27
23	25
15	19
20	16
26	22
14	11
29	21
11	29
20	11
10	25
26	20
16	16
21	21
25	22
30	11
25	17
23	28
26	27
19	16
14	13
17	10
30	14
23	27
24	25
27	22
24	28
29	21
23	24
23	30
26	21
16	26
29	22
27	15
26	18
29	20
14	28
29	23
11	26
13	24
30	27
10	14
29	26
29	11
16	24
28	22
13	20
16	26
17	28
17	20
27	10
26	25
19	30
22	11
19	16
15	26
27	29
12	13
27	14
12	15
10	18
18	12
10	13
30	22
21	22
15	25
25	14
11	30
11	30
21	23
20	16
22	21
24	10
18	20
15	22
16	25
10	16
24	13
19	10
14	11
14	21
18	24
26	17
10	13
18	14
30	25
17	25
11	26
18	21
21	14
30	22
25	30
28	19
12	24
28	27
16	22
29	23
21	19
11	15
24	13
19	17
29	11
13	16
14	17
21	25
28	10
28	16
10	30
11	24
25	29
26	16
27	21
28	27
19	27
25	14
20	20
